dataMatrix	C100a	C100b	C100c
M333.0503	2080122.5115892	2636302.80183731	2543899.38971682
M333.1005	2062962.19470696	1754537.97847811	NA
M333.9797	6361810.53928197	5373496.56041691	4848807.32838519
M335.0376	2384177.36397588	2747577.59832506	2928305.34146892
M335.9767	3620843.20834636	2362771.80696594	1839252.46293222
M337.0491	4113048.1039393	4407151.72286427	4516748.68850723
M337.0616	89466158.0336255	120223514.870924	106248231.806613
M337.0748	1409746.92553681	4820032.28358773	8296895.17418093
M338.0650	4763490.85427311	6401634.46562496	6389201.14601493
M338.2454	2219355.87651731	NA	2051875.61737897
M338.3415	68751803.9464673	49212862.8297139	43039049.9072425
M339.0378	4628799.2764172	4593788.0621624	2021759.47084513
M339.3449	11944532.7465617	8942112.68711003	7975655.21720745
M339.9876	4875050.67671183	3099456.09474145	3774065.13316448
M340.2820	37872436.9737966	31062947.3253268	27725021.7335507
M341.2853	4720215.60845366	5065883.36557073	4210527.37015339
M341.3048	42591701.0258667	43078472.8033959	42384910.3307161
M342.3082	7903768.94891215	6606565.26434569	7277079.72821182
M345.1800	2347941.74945824	2985503.54644354	3388179.58688517
M345.2422	86497816.0638902	64669915.6976954	53333906.7031669
M346.2456	15087064.0219757	11213572.2213149	9602631.11898384
M347.0678	83515551.1505599	80801116.4540753	69213638.4678014
M348.0712	10742236.3844343	11660696.9446591	9622093.32803401
M348.3106	9303406.87552519	7132752.11512155	7598415.50152281
M349.0552	1051367.61210803	1813626.10382955	2182947.37823056
M349.0659	3288510.47559021	3314760.50588369	2358147.48488417
M350.0181	NA	1671969.0174735	1875183.94384797
M353.0266	44826930.2497997	53638770.8115277	51721015.9013016
M353.0355	19634466.8369755	23101019.1671312	22749499.8364903
M353.0758	3119112.93441979	3230315.6619869	2510654.52686711
M353.2660	753920219.450373	811297288.833349	815123600.03793
M354.0300	2622142.22716659	3090207.21929517	3054520.52726768
M354.0389	1434005.79964397	1335402.70713953	1525384.54996891
M354.2694	127777228.080214	144063452.077152	140842517.598472
M355.0112	NA	NA	NA
M355.0336	710764.570593263	NA	941811.54644547
M355.2518	NA	NA	NA
M355.2715	6470134.58023501	6941789.44656431	7162798.54150644
M356.2558	3455994.33244327	2645817.27640068	1764535.41913634
M359.0070	NA	NA	NA
M359.0310	1440521.92976077	1889354.70032023	1955485.74318473
M359.0436	29648529.775815	34165128.8537302	33780976.6963095
M359.1851	28416940.0354351	22767325.7564255	20185270.6974685
M359.3154	93380050.0504195	86786202.6592822	87032241.9838583
M360.0470	2017364.42894909	2407212.32758681	2339585.22748373
M360.1884	6318893.39624041	3956189.76741737	3617609.61838324
M360.3188	137004458.598276	116878415.162203	102444646.86222
M361.3268	20966404.2104711	17552034.4603885	15602897.0159185
M362.1508	358171445.864188	307311150.866649	273418110.447385
M362.9262	670107.601979404	367343.522588133	704299.004702797
M363.1542	41762551.413121	38171718.8552934	32119916.9314803
M364.1575	1986705.58125956	1955966.91715553	1216674.44256039
M366.2314	1165997.8004272	NA	695959.208732072
M367.2241	187869039.441217	170650711.995929	151327248.499189
M368.2275	27759283.9139137	24824865.9451474	23451795.8847214
M368.9945	NA	NA	NA
M369.0006	2981805.68857138	3456364.40413447	3755661.88357759
M369.2309	1733445.80793055	1568991.51978817	NA
M369.2399	100381101.209087	119043100.021028	120069599.994259
M369.3514	1913492.60346524	2712041.06907273	2288373.38016251
M370.2433	11929021.4524025	15390915.4768991	15771503.6678255
M371.2381	4141105.74608341	4647761.6178039	5268941.32937433
M375.0086	8625815.56351972	10348625.3985939	10756585.9919032
M375.0175	10582564.0106099	11725077.9011945	11727356.7522179
M376.2974	14218163.1024362	12556984.0250417	11419148.9778551
M376.3419	23020248.3851984	23440732.7487768	21886265.6561128
M377.0502	1422649.53918878	NA	1704340.66903135
M377.3008	2522549.4401892	1753506.83883235	1730666.39350954
M377.3453	4725731.41441565	3861549.50079259	4278919.4553788
M381.0256	4021825.28911434	5710768.34826168	4736194.39866801
M381.1671	102592168.43891	91032638.137049	80412357.4230253
M381.2973	1429837286.77429	1559610431.13176	1559370047.69893
M382.1704	16277538.2284748	13520660.3845963	13627528.764503
M382.3007	311052255.890552	342411823.257503	342082263.426542
M383.1157	2848365.30570064	4279644.12101582	4761130.25735605
M383.1980	15232242.3915818	12812784.9775678	13192598.2924382
M383.3028	17642754.0760839	19799147.2383507	20050887.8466571
M384.1328	14274369.6653498	12025259.6728247	10672334.2783012
M384.2014	3115683.0994873	1964907.58658198	2333446.66711452
M385.1361	1311122.18486819	1127711.26580849	NA
