variableMetadata	mzMed	mzMin	mzMax	sizeSamp	scanMin	scanMax	nPeaks	meanSolvent	timeShifted	signalOverSolventPvalueMean	corSampPeakMean	corSampPeakSd	signalOverSolventRatioMean	variableID
M137.0573	137.057273631124	137.056777954102	137.05744934082	62	20	86	2	12666.7206253219	0	0.00466226849913742	0.14695123050317	0.303881570657189	4.73926227059909	M137.0573
M137.0790	137.079008622603	137.078887939453	137.079147338867	63	23	86	1	0	0	0	0.501943404607492	NA	Inf	M137.0790
M138.9065	138.906451034546	138.905853271484	138.907165527344	61	18	86	3	0	0	0	0.613271065824047	0.0581854102029544	Inf	M138.9065
M140.0682	140.068174501006	140.067749023438	140.068344116211	62	15	86	3	9378.37602950435	0	1.84761095312069e-11	0.609302098504902	0.0919741379065595	16.0710126969975	M140.0682
M140.9035	140.903485774994	140.903366088867	140.903564453125	58.5	20	82	2	0	0	0	0.733942356221185	0.0292597621321529	Inf	M140.9035
M142.0651	142.065081157382	142.064697265625	142.065246582031	65	16	86	3	0	0	0	0.633160817970427	0.0573420142541727	Inf	M142.0651
M142.9183	142.918298112958	142.918121337891	142.918472290039	86	50	137	2	0	0	0	-0.582192025338796	0.0848445476330674	Inf	M142.9183
M142.9480	142.948038101196	142.947631835938	142.948211669922	75	19	107	3	0	0	0	-0.184077952999851	0.34410978525346	Inf	M142.9480
M143.0328	143.032791245914	143.032241821289	143.032943725586	62	15	91	3	0	0	0	0.73241403499313	0.0524308322676586	Inf	M143.0328
M144.1019	144.101876831055	144.101455688477	144.102066040039	62	20	88	3	1121.14823404948	0	0	0.473584232819723	0.127368195183245	Inf	M144.1019
M144.9921	144.992074854234	144.991683959961	144.992553710938	85	19	129	3	1996.67861328125	0	0	-0.129100806597964	0.156128255029028	Inf	M144.9921
M146.0600	146.059988759047	146.059432983398	146.060195922852	68	15	100	3	0	0	0	0.870215452689764	0.0437170675265926	Inf	M146.0600
M147.0916	147.091621681496	147.091522216797	147.091751098633	65	17	82	1	0	0	0	0.438105760196605	NA	Inf	M147.0916
M147.1128	147.112763167547	147.11262512207	147.112991333008	72	15	100	3	0	0	0	0.380699949216838	0.259671847973663	Inf	M147.1128
M148.0604	148.060396659572	148.060012817383	148.060897827148	73	15	95	3	2993.42592366536	0	0	0.698293395116171	0.0654798532929847	Inf	M148.0604
M148.0845	148.084474945068	148.084320068359	148.084609985352	66	17	83	1	0	0	0	0.4813833579146	NA	Inf	M148.0845
M150.1124	150.112438180048	150.111907958984	150.11296081543	85	16	104	3	3966.63818359375	0	0	0.930223283073888	0.0407639988637586	Inf	M150.1124
M151.1158	151.115798563897	151.115615844727	151.115921020508	70	15	91	3	0	0	0	0.598123801228681	0.0638576185473255	Inf	M151.1158
M152.0567	152.05665371457	152.055755615234	152.057312011719	72	16	95	3	0	0	0	0.922113087663843	0.0351770009181509	Inf	M152.0567
M152.0620	152.062017384405	152.061325073242	152.0625	65	15	89	3	0	0	0	0.952953064157674	0.0191910110933623	Inf	M152.0620
M152.9990	152.998950171188	152.99853515625	152.999130249023	100	23	179	3	1561.81320529514	1	0	NA	NA	Inf	M152.9990
M153.0600	153.060010736639	153.059783935547	153.060348510742	63	15	86	3	0	0	0	0.33261568209731	0.0929642571605035	Inf	M153.0600
M153.0654	153.065372935513	153.065124511719	153.065612792969	64	15	85	3	0	0	0	0.672277200963208	0.037047976970079	Inf	M153.0654
M154.0838	154.083814559444	154.083633422852	154.083999633789	59	17	86	3	0	0	0	0.501201948551798	0.131358113431133	Inf	M154.0838
M154.9417	154.94165922277	154.941345214844	154.941879272461	119	23	172	2	0	1	0	NA	NA	Inf	M154.9417
M156.0767	156.076722570732	156.076110839844	156.076995849609	75	16	100	3	0	0	0	0.272683671319802	0.0866636393120167	Inf	M156.0767
M158.1175	158.117540067785	158.117324829102	158.117721557617	62	15	88	3	0	0	0	0.637098769553539	0.143106189468169	Inf	M158.1175
M158.9641	158.964053976125	158.963882446289	158.964202880859	59	15	81	3	34785.0601755579	0	0	0.807890980513104	0.043921796920764	13.9115943703082	M158.9641
M159.0917	159.091655247371	159.091217041016	159.092132568359	69	15	86	3	0	0	0	0.928203086516751	0.0165769122179919	Inf	M159.0917
M160.0604	160.060416795553	160.059799194336	160.060623168945	101	18	128	3	0	0	0	-0.696285086947184	0.0239626042103329	Inf	M160.0604
M160.0717	160.071653793107	160.071350097656	160.071838378906	71	16	98	3	0	0	0	0.360512764015722	0.139859658418877	Inf	M160.0717
M160.0757	160.075667323328	160.075454711914	160.075988769531	72	15	93	3	0	0	0	0.828590720911995	0.0675526715993844	Inf	M160.0757
M160.0950	160.094999226959	160.094802856445	160.095230102539	61	17	84	2	0	0	0	0.508274873177298	0.0299884497576574	Inf	M160.0950
M162.1125	162.112470792988	162.111907958984	162.112609863281	79	16	100	3	2036.77069769965	0	0	0.944260511745337	0.0256974653917159	Inf	M162.1125
M163.0389	163.038891176634	163.038162231445	163.03938293457	68	15	86	3	0	0	0	0.644177666365033	0.12330727860678	Inf	M163.0389
M163.0534	163.05337700477	163.052764892578	163.05387878418	62	18	87	3	0	0	0	0.37446825649014	0.152398366232935	Inf	M163.0534
M163.1158	163.115787693712	163.115539550781	163.116027832031	69	15	92	3	0	0	0	0.559610473658948	0.0777895627462227	Inf	M163.1158
M164.0615	164.061473259559	164.060653686523	164.062042236328	67	17	88	3	0	0	0	0.529044671634918	0.0745160432130075	Inf	M164.0615
M164.9300	164.929969901856	164.92951965332	164.930206298828	73	20	100	3	1299.52844238281	0	0	0.178810660578351	0.184765875679411	Inf	M164.9300
M165.0698	165.069782265618	165.068664550781	165.070068359375	69	15	87	8	0	0	0	0.844763797890075	0.209800568660078	Inf	M165.0698
M166.0259	166.025857289632	166.024307250977	166.026290893555	110	16	251	7	0	1	0	NA	NA	Inf	M166.0259
M166.0731	166.073136416349	166.072250366211	166.073440551758	66	15	86	3	0	0	0	0.783490224468685	0.104226596898503	Inf	M166.0731
M166.0776	166.077639791701	166.076812744141	166.077880859375	67	16	91	3	0	0	0	0.870158651004209	0.0649380236511134	Inf	M166.0776
M166.0862	166.086228555637	166.085601806641	166.08642578125	66	15	86	3	0	0	0	0.861649800482082	0.0440120358692017	Inf	M166.0862
M166.5277	166.527731553564	166.526977539062	166.528137207031	113	21	211	3	0	1	0	NA	NA	Inf	M166.5277
M167.0811	167.081112983899	167.080276489258	167.081573486328	62	22	86	3	0	0	0	0.431536053345747	0.0619853868071949	Inf	M167.0811
M167.0855	167.085490628756	167.084716796875	167.085601806641	69	15	92	3	0	0	0	0.977831885593914	0.0111546736398638	Inf	M167.0855
M167.1042	167.104210364235	167.10400390625	167.104415893555	63	15	83	2	6340.88939490685	0	0	0.687014218812505	0.17232212129461	34.8768841314563	M167.1042
M168.0888	168.088849857945	168.088272094727	168.089111328125	72	17	91	3	0	0	0	0.970753664149279	0.0110120316054956	Inf	M168.0888
M169.0922	169.092206682478	169.092025756836	169.092544555664	67	15	85	3	0	0	0	0.771097383750671	0.0443838972400322	Inf	M169.0922
M170.0424	170.042356460813	170.04216003418	170.042617797852	71	15	95	3	0	0	0	0.689834725449901	0.0644641273126324	Inf	M170.0424
M170.0924	170.092384338379	170.092132568359	170.09260559082	75	18	108	3	0	0	0	0.160167462135068	0.0437266800135787	Inf	M170.0924
M172.0944	172.09440111844	172.09375	172.094589233398	62	15	83	3	0	0	0	0.881152459196684	0.0382723417710929	Inf	M172.0944
M173.4724	173.472379181903	173.4716796875	173.472961425781	76.5	16	100	6	21210.9177785836	0	0	0.939487322691657	0.038980487826885	18.4193228480185	M173.4724
M174.0386	174.038636618798	174.038330078125	174.038940429688	66	15	87	3	0	0	0	0.912816454710135	0.0125998091060734	Inf	M174.0386
M174.0549	174.054942036723	174.05419921875	174.055191040039	68	17	86	3	0	0	0	0.95091917210158	0.0114086515024785	Inf	M174.0549
M174.0913	174.091334582325	174.090789794922	174.091537475586	72	15	95	3	0	0	0	0.929523443503942	0.0234525341319556	Inf	M174.0913
M175.0314	175.031360689799	175.030792236328	175.031646728516	109	21	251	3	0	1	0	NA	NA	Inf	M175.0314
M175.0583	175.058308293269	175.05744934082	175.058563232422	66	15	89	3	0	0	0	0.800794132157932	0.0798900257905566	Inf	M175.0583
M175.0947	175.094700372041	175.094345092773	175.09489440918	59	20	86	3	0	0	0	0.444525481440137	0.394892267638537	Inf	M175.0947
M175.1101	175.110130205546	175.109390258789	175.110778808594	66	15	92	3	0	0	0	0.43902294866869	0.188493753012956	Inf	M175.1101
M175.1189	175.118946620396	175.118713378906	175.119201660156	78	15	95	3	0	0	0	0.428714912131112	0.186600892342826	Inf	M175.1189
M175.5330	175.533028617619	175.532501220703	175.533584594727	109	20	197	3	0	1	0	NA	NA	Inf	M175.5330
M176.1030	176.102989479348	176.102676391602	176.103210449219	66	17	83	1	0	0	0	0.199991932165647	NA	Inf	M176.1030
M176.1182	176.118201870389	176.117691040039	176.118286132812	71	15	91	3	0	0	0	0.976409090134869	0.017143537337468	Inf	M176.1182
M176.1280	176.12801028895	176.127426147461	176.128326416016	69	15	86	3	0	0	0	0.86580751787216	0.00988594645220013	Inf	M176.1280
M177.0546	177.054586839816	177.053955078125	177.054916381836	74	15	93	4	7614.01712612576	0	0	0.942544775122472	0.0125070668931776	296.011100259102	M177.0546
M177.0869	177.086939179848	177.086395263672	177.087173461914	205	36	251	3	8873.35915231416	1	8.88178419700125e-15	NA	NA	24.2705674434216	M177.0869
M177.0982	177.098172651854	177.097640991211	177.098434448242	79	15	108	3	0	0	0	0.629310274661544	0.191248874077115	Inf	M177.0982
M177.1152	177.115224685669	177.114990234375	177.115493774414	67	15	86	3	0	0	0	0.902700520075404	0.0161836781251988	Inf	M177.1152
M177.1215	177.121526013167	177.12092590332	177.12174987793	69	17	89	3	0	0	0	0.971691246110839	0.0150239293123098	Inf	M177.1215
M177.1244	177.124388089187	177.124130249023	177.124694824219	60	16	80	2	0	0	0	0.596559103299956	0.0290647822250561	Inf	M177.1244
M178.0579	178.057930469513	178.057601928711	178.058212280273	67	19	100	3	0	0	0	0.680841452657475	0.040427414361933	Inf	M178.0579
M178.1015	178.10149305694	178.101303100586	178.10173034668	71	16	87	1	0	0	0	0.195597469656073	NA	Inf	M178.1015
M178.1249	178.12488268931	178.12434387207	178.125534057617	68	15	100	3	0	0	0	0.822833576198658	0.0190245335559222	Inf	M178.1249
M182.0811	182.081140660459	182.080810546875	182.081436157227	79	15	100	3	0	0	0	0.604496628110253	0.122738526630359	Inf	M182.0811
M182.9023	182.90234357166	182.901626586914	182.902633666992	100	47	164	2	0	1	0	NA	NA	Inf	M182.9023
M185.0420	185.042032822319	185.041793823242	185.042434692383	65	15	84	3	0	0	0	0.893477601941295	0.00933702538077865	Inf	M185.0420
M187.0577	187.057674153646	187.057281494141	187.057968139648	62	15	86	3	0	0	0	0.483986673266192	0.00748189978523544	Inf	M187.0577
M187.0713	187.071337307201	187.070953369141	187.071685791016	109	22	251	3	0	1	0	NA	NA	Inf	M187.0713
M188.0683	188.068278132258	188.067962646484	188.068603515625	64	15	82	3	0	0	0	0.584653885753533	0.102041656097629	Inf	M188.0683
M188.0706	188.070580595283	188.070343017578	188.070877075195	69	15	100	3	0	0	0	0.64961206146138	0.0262787439485847	Inf	M188.0706
M189.0871	189.087073320899	189.086486816406	189.087493896484	115	15	251	3	0	1	0	NA	NA	Inf	M189.0871
M190.0125	190.012532284385	190.01220703125	190.012893676758	62	20	89	3	0	0	0	0.904466547819561	0.0206758217294512	Inf	M190.0125
M190.1437	190.14374363676	190.143432617188	190.144027709961	59	15	86	3	0	0	0	0.501601090916604	0.0492167473611579	Inf	M190.1437
M191.0766	191.076643676758	191.076248168945	191.076858520508	55	17	72	1	0	0	0	0.399527171748105	NA	Inf	M191.0766
M191.1026	191.102550018286	191.101959228516	191.102890014648	106	22	137	2	0	1	0	NA	NA	Inf	M191.1026
M192.0243	192.024306838577	192.024032592773	192.024642944336	63	15	84	3	0	0	0	0.623022259034741	0.0896370466211046	Inf	M192.0243
M194.1387	194.138656514486	194.138366699219	194.138931274414	72	15	90	3	0	0	0	0.728424109108765	0.069262587162455	Inf	M194.1387
M195.0459	195.045901784635	195.045608520508	195.046157836914	97.5	26	127	2	0	0	0	-0.564842870687203	0.00974913588062513	Inf	M195.0459
M196.0205	196.02051858341	196.020065307617	196.020904541016	62	16	85	3	0	0	0	0.585206380115508	0.105480944510921	Inf	M196.0205
M196.0369	196.036869075748	196.036560058594	196.037216186523	65	15	84	3	0	0	0	0.92260311847779	0.0401745722069231	Inf	M196.0369
M196.8650	196.865036908318	196.86474609375	196.86540222168	62	15	85	3	0	0	0	0.641477586282565	0.0668924273481179	Inf	M196.8650
M196.9886	196.988619537303	196.987930297852	196.988952636719	105	22	135	2	0	0	0	-0.641308614384621	0.124375312438711	Inf	M196.9886
M197.0402	197.040224552155	197.039825439453	197.040557861328	59	17	86	3	0	0	0	0.605978950402281	0.0400885366628072	Inf	M197.0402
M197.0430	197.042957537102	197.042587280273	197.04328918457	102	20	218	3	0	1	0	NA	NA	Inf	M197.0430
M198.0972	198.097195095486	198.096908569336	198.097457885742	67	15	88	3	0	0	0	0.453443427599576	0.0686489681791353	Inf	M198.0972
M198.1001	198.100148168103	198.099807739258	198.100433349609	61	15	83	3	0	0	0	0.40473700589536	0.0500614903293679	Inf	M198.1001
M198.8621	198.862140655518	198.861541748047	198.862457275391	60	19	87	3	0	0	0	0.657715554368201	0.0772810332335856	Inf	M198.8621
M199.0365	199.036545116377	199.035873413086	199.036926269531	67	15	84	3	0	0	0	0.951552070301507	0.0327989506951824	Inf	M199.0365
M199.0689	199.068937906405	199.068603515625	199.0693359375	101	15	131	3	0	1	0	NA	NA	Inf	M199.0689
M199.0801	199.080133337724	199.079788208008	199.080444335938	66	15	89	3	0	0	0	0.652223332923558	0.0509405084475952	Inf	M199.0801
M200.0399	200.039887408821	200.039520263672	200.040328979492	59	15	100	3	0	0	0	0.683408830436882	0.0888021195584189	Inf	M200.0399
M202.9759	202.975873131147	202.975463867188	202.976181030273	108	36	158	2	2586.33154296875	1	0.000214186006959549	NA	NA	Inf	M202.9759
M203.0101	203.010149685728	203.009399414062	203.010513305664	115	16	219	3	0	1	0	NA	NA	Inf	M203.0101
